Date,Open,High,Low,Close,Adj Close,Volume
2017/05/10,2315.56,2337.05,2315.56,2324.92,22318926,29082185728.00
2017/05/11,2318.05,2342.18,2313.83,2339.29,28395441,31483873280.00
2017/05/12,2336.61,2375.64,2335.37,2375.45,28906784,32145338368.00
2017/05/15,2380.27,2394.52,2378.97,2381.75,23412410,28055293952.00
2017/05/16,2376.90,2381.73,2362.11,2381.32,23892047,27292942336.00
2017/05/17,2377.12,2378.99,2361.63,2363.56,20858225,24900859904.00
2017/05/18,2348.87,2361.02,2347.38,2354.75,17121231,21258547200.00
2017/05/19,2351.52,2363.36,2351.52,2361.66,14304568,18966710272.00
2017/05/22,2359.97,2384.16,2358.78,2381.55,22780231,28751136768.00
2017/05/23,2378.74,2412.03,2376.64,2411.80,34620556,41243926528.00
2017/05/24,2402.52,2413.42,2382.19,2407.57,22774332,28642322432.00
2017/05/25,2399.36,2476.91,2399.27,2473.50,50363335,53142704128.00
2017/05/26,2467.90,2483.75,2462.23,2471.21,30989733,36527501312.00
2017/05/31,2470.94,2502.85,2462.26,2479.08,29878344,37045182464.00
2017/06/01,2476.21,2497.69,2465.48,2496.45,30766330,37798051840.00
2017/06/02,2494.37,2499.71,2472.65,2475.46,23664148,28341835776.00
2017/06/05,2468.94,2473.36,2442.27,2450.35,28735857,29094731776.00
2017/06/06,2447.04,2466.31,2444.19,2466.01,17467322,22598701056.00
2017/06/07,2468.55,2492.98,2464.19,2484.03,27138408,34088120320.00
2017/06/08,2481.16,2508.93,2475.74,2507.03,22070860,29227278336.00
2017/06/09,2506.76,2536.99,2504.90,2519.27,33773309,39637188608.00
2017/06/12,2515.58,2545.04,2512.14,2521.17,25720869,33894565888.00
2017/06/13,2517.33,2519.15,2499.73,2515.14,17487921,24470317056.00
2017/06/14,2505.06,2505.20,2471.62,2477.32,21841108,29833244672.00
2017/06/15,2474.26,2481.80,2453.13,2461.97,20702545,28607608832.00
2017/06/16,2454.84,2466.69,2448.31,2452.79,16518044,23251564544.00
2017/06/19,2455.03,2486.31,2453.35,2484.12,20594004,26899359744.00
2017/06/20,2489.20,2492.22,2467.77,2474.43,17771153,24584404992.00
2017/06/21,2487.85,2498.19,2468.51,2497.25,20354217,30603689984.00
2017/06/22,2491.92,2544.67,2491.92,2516.67,43743944,53825785856.00
2017/06/23,2510.71,2530.56,2496.66,2529.10,29403951,37695705088.00
2017/06/26,2531.28,2560.11,2531.28,2543.32,39716748,49718218752.00
2017/06/27,2541.69,2558.10,2529.24,2554.70,26984713,33511464960.00
2017/06/28,2548.16,2560.86,2537.24,2537.64,28194970,35655499776.00
2017/06/29,2541.35,2554.80,2532.46,2552.98,19754376,26914437120.00
2017/06/30,2543.79,2552.92,2533.86,2549.97,18677177,23781990400.00
2017/07/03,2550.50,2550.50,2522.74,2534.37,18304213,25254139904.00
2017/07/04,2531.53,2531.61,2506.68,2511.15,23547128,30659909632.00
2017/07/05,2508.81,2551.41,2507.92,2548.10,20607654,31435616256.00
2017/07/06,2543.91,2561.64,2534.12,2553.88,22234624,33132156928.00
2017/07/07,2542.91,2546.78,2527.55,2543.66,22510062,29785522176.00
2017/07/10,2538.16,2557.47,2530.93,2550.11,25305145,33457188864.00
2017/07/11,2543.72,2592.06,2543.05,2570.59,33968228,41538297856.00
2017/07/12,2570.91,2604.20,2555.38,2565.14,37070595,43416547328.00
2017/07/13,2565.59,2601.47,2563.22,2600.95,42871574,50979651584.00
2017/07/14,2600.76,2623.32,2593.43,2622.98,33653285,39772291072.00
2017/07/17,2627.37,2663.28,2594.42,2631.41,60865949,68239167488.00
2017/07/18,2619.23,2637.53,2596.12,2624.31,39435040,46730936320.00
2017/07/19,2621.11,2661.66,2618.37,2657.89,48688897,60808695808.00
2017/07/20,2653.38,2666.04,2643.64,2665.45,37580733,48880734208.00
2017/07/21,2655.23,2661.48,2635.00,2639.21,29715562,41342808064.00
2017/07/24,2636.55,2666.65,2632.76,2654.38,33056566,41940144128.00
2017/07/25,2656.48,2667.79,2639.61,2643.07,34185413,37771702272.00
2017/07/26,2642.26,2665.15,2617.55,2636.20,35447256,41955307520.00
2017/07/27,2632.00,2638.94,2610.58,2636.63,30670126,38024536064.00
2017/07/28,2627.16,2642.69,2619.04,2636.39,21934465,28588922880.00
2017/07/31,2633.88,2649.29,2626.18,2638.12,28647763,37904969728.00
2017/08/01,2640.87,2681.93,2638.02,2681.81,33820507,47788867584.00
2017/08/02,2679.34,2696.64,2675.20,2680.63,42222377,53708275712.00
2017/08/03,2676.35,2689.94,2644.99,2646.22,31815168,40554217472.00
2017/08/04,2644.45,2653.81,2627.25,2627.80,27959952,38299815936.00
2017/08/07,2621.55,2641.34,2613.82,2634.18,26086109,34629738496.00
2017/08/08,2632.04,2639.24,2622.26,2635.18,25782468,33964140544.00
2017/08/09,2630.67,2634.43,2618.81,2620.38,24707911,33204150272.00
2017/08/10,2617.99,2635.35,2590.86,2611.34,28171479,39580893184.00
2017/08/11,2592.04,2599.71,2566.57,2570.26,35170960,44276236288.00
2017/08/14,2572.30,2598.38,2567.60,2591.45,26118900,36279971840.00
2017/08/15,2593.07,2623.08,2592.92,2605.24,27900976,33091743744.00
2017/08/16,2601.47,2602.10,2586.34,2595.00,20351811,25167149056.00
2017/08/17,2599.04,2606.68,2591.54,2604.08,20571105,27778492416.00
2017/08/18,2601.88,2621.97,2595.86,2613.26,19897828,31122548736.00
2017/08/21,2619.04,2628.80,2610.26,2616.82,19436872,27074873344.00
2017/08/22,2624.41,2644.20,2620.16,2643.50,27118182,37445332992.00
2017/08/23,2641.79,2673.39,2639.66,2659.78,34691794,41179123712.00
2017/08/24,2659.65,2675.20,2641.83,2646.40,29939211,33887055872.00
2017/08/25,2645.45,2706.70,2645.45,2706.24,47493751,53051879424.00
2017/08/28,2715.47,2766.79,2715.47,2736.46,60501098,77248847872.00
2017/08/29,2734.45,2746.10,2726.22,2739.13,35262284,46759796736.00
2017/08/30,2740.00,2762.07,2720.66,2728.23,42052803,53736566784.00
2017/08/31,2729.47,2735.43,2701.89,2714.63,40182234,46855536640.00
2017/09/01,2716.05,2734.77,2700.16,2710.12,43093296,52472881152.00
2017/09/04,2703.33,2713.73,2691.78,2711.35,33196289,43569184768.00
2017/09/05,2712.76,2738.59,2711.17,2729.85,30534788,39043620864.00
2017/09/06,2721.95,2725.24,2703.65,2714.33,31137933,40907423744.00
2017/09/07,2716.13,2717.56,2690.88,2691.83,27636111,37181800448.00
2017/09/08,2692.80,2701.57,2681.44,2686.69,24471292,32599541760.00
2017/09/11,2691.34,2708.42,2673.62,2674.75,29084101,40085266432.00
